City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Daru,PG,-9.0763,143.2092,78.94,86,100,5.3,overcast clouds
79,Yaval,IN,21.1667,75.7,96.42,13,0,7.52,clear sky
80,Namatanai,PG,-3.6667,152.4333,78.91,77,31,5.57,scattered clouds
81,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,75,19.57,light rain
82,Budelsdorf,DE,54.3167,9.6833,53.08,55,96,25.32,overcast clouds
83,Xinxiang,CN,35.3089,113.8672,73.72,54,100,4.07,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,0,4.61,clear sky
85,Nikolskoye,RU,59.7035,30.7861,49.71,80,100,9.69,light rain
86,Cidreira,BR,-30.1811,-50.2056,70.54,65,0,17.25,clear sky
87,Saskylakh,RU,71.9167,114.0833,-6.45,100,29,3.06,scattered clouds
88,Westport,US,41.1415,-73.3579,62.85,49,57,13.0,broken clouds
89,Dalmatovo,RU,56.26,62.9362,46.78,59,100,8.77,overcast clouds
90,Rorvik,NO,64.8621,11.2373,44.71,76,75,16.11,broken clouds
91,Zhezkazgan,KZ,47.8043,67.7144,47.07,75,97,17.72,overcast clouds
92,Royan,FR,45.6285,-1.0281,57.81,81,25,18.45,scattered clouds
93,Touros,BR,-5.1989,-35.4608,84.25,70,100,14.29,overcast clouds
94,Coihaique,CL,-45.5752,-72.0662,36.21,100,100,2.3,moderate rain
95,Aitape,PG,-3.1374,142.3475,77.59,86,93,2.44,light rain
96,Areka,ET,7.0667,37.7,66.51,76,84,3.47,light rain
97,Kavieng,PG,-2.5744,150.7967,81.54,78,47,9.71,light rain
98,Sivas,TR,39.7916,37.0019,59.88,55,82,5.84,broken clouds
99,Otjiwarongo,NA,-20.4637,16.6477,74.88,31,4,6.53,clear sky
100,Hobart,AU,-42.8794,147.3294,56.26,88,75,5.75,broken clouds
101,Jalu,LY,29.0331,21.5482,90.9,11,0,5.17,clear sky
102,Mamallapuram,IN,12.6264,80.1722,86.05,77,9,10.25,clear sky
103,Atbasar,KZ,51.8,68.3333,43.68,35,100,10.69,overcast clouds
104,Spornoye,RU,50.8448,37.2913,54.32,83,96,4.76,light rain
105,Jambi,ID,-1.6,103.6167,75.56,97,100,1.79,light rain
106,Bengkulu,ID,-3.8004,102.2655,77.97,87,69,3.0,broken clouds
107,Bay Roberts,CA,47.5999,-53.2648,40.05,91,100,5.99,overcast clouds
108,Katsuura,JP,35.1333,140.3,62.42,91,100,4.68,overcast clouds
109,Maketu,NZ,-37.7667,176.45,59.05,98,3,6.2,clear sky
110,Huarmey,PE,-10.0681,-78.1522,72.7,75,36,10.51,scattered clouds
111,Galdar,ES,28.147,-15.6502,66.7,66,28,4.72,scattered clouds
112,Klaksvik,FO,62.2266,-6.589,47.32,86,100,17.94,overcast clouds
113,Cayenne,GF,4.9333,-52.3333,86.04,1,75,9.22,broken clouds
114,Vanimo,PG,-2.6741,141.3028,79.41,84,79,4.72,broken clouds
115,Aleksandrov Gay,RU,50.147,48.5704,57.4,65,100,2.04,overcast clouds
116,Punta Alta,AR,-38.8759,-62.0736,68.14,50,91,11.97,overcast clouds
117,Birjand,IR,32.8663,59.2211,73.87,23,40,16.11,scattered clouds
118,Cootamundra,AU,-34.65,148.0333,56.95,92,100,9.78,overcast clouds
119,Paredon,MX,16.0333,-93.8667,86.58,58,0,6.51,clear sky
120,Atar,MR,20.5169,-13.0499,89.65,20,0,6.91,clear sky
121,Shelburne,CA,44.0787,-80.2041,69.6,54,98,13.42,overcast clouds
122,Dingle,PH,10.9995,122.6711,77.22,89,95,6.51,overcast clouds
123,Ponta Do Sol,PT,32.6667,-17.1,70.0,62,21,7.58,few clouds
124,Karasjok,NO,69.4719,25.5112,36.32,95,96,7.78,overcast clouds
125,Sinnamary,GF,5.3833,-52.95,81.07,83,79,8.81,broken clouds
126,Jamestown,US,42.097,-79.2353,79.02,28,53,11.99,broken clouds
127,Clyde River,CA,70.4692,-68.5914,5.23,85,100,9.22,light snow
128,Wisconsin Rapids,US,44.3836,-89.8174,61.18,48,13,3.0,few clouds
129,Saint Thomas Mount,IN,12.9964,80.2031,85.98,84,20,6.91,few clouds
130,Kenai,US,60.5544,-151.2583,37.15,88,100,1.05,overcast clouds
131,Antofagasta,CL,-23.65,-70.4,72.21,49,10,6.06,clear sky
132,Roebourne,AU,-20.7833,117.1333,79.77,62,0,4.32,light rain
133,Henderson,US,36.0397,-114.9819,65.75,26,0,12.66,clear sky
134,Carnarvon,AU,-24.8667,113.6333,66.27,94,3,0.0,clear sky
135,Mehamn,NO,71.0357,27.8492,37.38,81,100,13.47,overcast clouds
136,Sao Filipe,CV,14.8961,-24.4956,75.63,70,9,3.67,clear sky
137,Flinders,AU,-34.5833,150.8552,62.19,90,98,5.99,overcast clouds
138,Cape Town,ZA,-33.9258,18.4232,63.12,69,20,17.27,few clouds
139,Ozu,JP,33.5,132.55,62.19,95,89,2.35,overcast clouds
140,Kahului,US,20.8947,-156.47,74.84,78,0,16.11,clear sky
141,Felanitx,ES,39.4696,3.1483,69.46,52,6,14.18,clear sky
142,Liverpool,GB,53.4106,-2.9779,63.75,46,40,13.8,scattered clouds
143,Pacific Grove,US,36.6177,-121.9166,55.02,91,40,8.01,scattered clouds
144,Victoria,HK,22.2855,114.1577,82.33,87,4,10.0,clear sky
145,Miles City,US,46.4083,-105.8406,36.59,88,100,20.0,overcast clouds
146,Simao,CN,22.7886,100.9748,65.25,66,2,2.8,clear sky
147,La Serena,CL,-29.9078,-71.2542,56.71,94,100,8.05,light intensity drizzle
148,Kruisfontein,ZA,-34.0033,24.7314,58.89,61,63,12.26,broken clouds
149,Georgetown,MY,5.4112,100.3354,84.13,93,40,5.01,scattered clouds
150,Severo-Kurilsk,RU,50.6789,156.125,32.38,87,99,12.08,overcast clouds
151,Bathsheba,BB,13.2167,-59.5167,86.61,54,40,19.57,scattered clouds
152,Mount Gambier,AU,-37.8333,140.7667,46.31,93,59,0.0,broken clouds
153,Cabo San Lucas,MX,22.8909,-109.9124,77.61,78,0,1.01,clear sky
154,Northam,GB,51.0333,-4.2167,57.65,73,63,14.23,broken clouds
155,Padang,ID,-0.9492,100.3543,78.78,89,100,3.71,overcast clouds
156,Chuy,UY,-33.6971,-53.4616,73.15,36,0,11.07,clear sky
157,Caramay,PH,10.1815,119.236,78.87,89,25,3.58,scattered clouds
158,Mahebourg,MU,-20.4081,57.7,76.24,83,75,19.57,broken clouds
159,Sept-Iles,CA,50.2001,-66.3821,43.23,48,20,17.27,few clouds
160,Lompoc,US,34.6391,-120.4579,72.84,70,0,8.01,clear sky
161,Port Lincoln,AU,-34.7333,135.8667,65.91,79,100,5.14,overcast clouds
162,Agadir,MA,30.4202,-9.5982,72.05,56,22,22.3,few clouds
163,Smithers,CA,54.7804,-127.1743,41.32,87,75,3.44,broken clouds
164,Bethel,US,41.3712,-73.414,65.03,41,20,6.91,few clouds
165,Algarrobo,CO,10.1869,-74.5753,88.32,55,17,6.93,few clouds
166,Dikson,RU,73.5069,80.5464,7.41,95,98,10.67,overcast clouds
167,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,91.51,36,19,10.42,few clouds
168,Riyadh,SA,24.6877,46.7219,86.14,13,94,12.1,overcast clouds
169,Avarua,CK,-21.2078,-159.775,77.05,88,75,13.8,broken clouds
170,Ilulissat,GL,69.2167,-51.1,28.71,92,100,7.36,overcast clouds
171,Norman Wells,CA,65.282,-126.8329,35.64,64,20,6.91,few clouds
172,Khatanga,RU,71.9667,102.5,-7.24,100,98,3.09,overcast clouds
173,Opelousas,US,30.5335,-92.0815,79.93,73,100,11.5,overcast clouds
174,Chernushka,RU,56.5072,56.0766,46.24,73,53,7.61,broken clouds
175,Noumea,NC,-22.2763,166.4572,75.0,99,99,11.77,overcast clouds
176,Saint-Joseph,RE,-21.3667,55.6167,73.78,78,98,15.79,overcast clouds
177,Port Elizabeth,ZA,-33.918,25.5701,61.32,81,0,16.11,clear sky
178,Shellbrook,CA,53.2168,-106.4011,38.43,73,93,10.13,overcast clouds
179,Karratha,AU,-20.7377,116.8463,80.37,62,0,4.7,light rain
180,Dhone,IN,15.4167,77.8833,95.27,21,96,7.0,overcast clouds
181,Simpang,ID,-1.2667,104.0833,75.76,92,85,0.11,overcast clouds
182,Half Moon Bay,US,37.4636,-122.4286,60.58,84,100,0.0,mist
183,Baturaja,ID,-4.1333,104.1667,75.24,91,99,3.0,overcast clouds
184,Halifax,CA,44.6453,-63.5724,45.48,57,74,16.11,broken clouds
185,Broome,US,42.2506,-75.833,70.02,51,82,7.0,broken clouds
186,Linqiong,CN,30.4159,103.4609,71.42,80,100,9.01,overcast clouds
187,Richards Bay,ZA,-28.783,32.0377,72.34,87,34,8.37,light rain
188,Cherskiy,RU,68.75,161.3,-4.52,100,86,5.37,overcast clouds
189,Medina,SA,24.4686,39.6142,93.63,8,20,17.27,few clouds
190,Uch,FR,45.3192,-0.9345,58.06,72,7,15.73,clear sky
191,Alta Floresta,BR,-9.8756,-56.0861,91.22,62,40,6.91,scattered clouds
192,Nizwa,OM,22.9333,57.5333,88.09,29,99,6.76,overcast clouds
193,Upice,CZ,50.5124,16.0161,55.54,93,100,4.05,light rain
194,Kaputa,ZM,-8.4689,29.6619,72.41,82,99,1.45,light rain
195,Wanning,CN,18.8003,110.3967,78.17,94,73,8.63,broken clouds
196,Alofi,NU,-19.0595,-169.9187,75.09,94,98,3.44,overcast clouds
197,Rawson,AR,-43.3002,-65.1023,67.28,27,90,31.72,overcast clouds
198,Dukat,RU,62.55,155.55,16.09,96,100,5.68,snow
199,Omboue,GA,-1.5746,9.2618,78.85,85,96,7.49,light rain
200,Tumwater,US,47.0073,-122.9093,52.11,81,100,4.0,overcast clouds
201,Makakilo City,US,21.3469,-158.0858,73.18,83,100,0.0,overcast clouds
202,Bubaque,GW,11.2833,-15.8333,78.04,75,14,17.72,few clouds
203,Pativilca,PE,-10.7,-77.7833,71.6,73,85,9.4,overcast clouds
204,Longyearbyen,SJ,78.2186,15.6401,12.04,57,40,10.36,scattered clouds
205,Ahipara,NZ,-35.1667,173.1667,61.52,82,25,13.04,light rain
206,Tura,IN,25.5198,90.2201,74.8,56,0,5.28,clear sky
207,Xining,CN,36.6167,101.7667,52.86,42,67,0.38,broken clouds
208,Beisfjord,NO,68.3751,17.5988,42.04,100,100,3.62,light rain
